,SPATIAL_ID,greenness_mean,greenness_median,greenness_std
692,db594160-6453-469b-8efb-719cac2320e2,338.8198325213264,331.8525390625,79.02495198199657
693,9cf37e1f-6842-44bf-8d56-09075285e7d3,532.9874710713115,535.7738647460938,123.11180130006723
694,b6494bc1-de08-425d-a611-38cb0b760e27,530.9863853098076,516.3458862304688,167.06984455358202
695,1ee5906a-20a0-4807-856b-ef668294a2f5,636.1411150034972,619.4630432128906,187.25163626789524
696,d31313ff-99d3-46e2-a8b0-9427f1b24b9d,313.36102227346265,311.2616882324219,106.0659970836524
697,b8d9b46d-580a-4c60-874b-2f1c30434bed,388.01136625146813,383.3346862792969,84.42870282150533
698,11064f85-943c-4474-a97a-cfeecdbdb47f,435.09142673192304,433.4989013671875,79.67073016340487
699,f5eea2c5-b953-4b3a-9a70-541504de2a43,393.7176618270602,387.44676208496094,106.80429868863014
700,fc4913f5-63a4-43e4-8c22-a4980758803f,357.91936821069464,356.35418701171875,106.30665676843121
701,6f31f3dc-40ee-408a-9849-ce8273c9951f,439.6194673171179,440.3965148925781,80.02323256920151
702,fd319257-76cc-4382-8118-e52cc125dda2,463.18979773829824,459.6193084716797,101.17151253321693
703,6105809a-e03b-409d-93a8-cb610b25da45,437.91208191805106,441.8806610107422,89.63861979006168
704,a2f91d85-9dcf-4cb7-9eba-46829d3c1639,460.6708481634548,462.5580139160156,101.79142017875391
705,399c5e65-1e08-4271-a228-d84fffa60711,529.1382192438299,529.0910949707031,95.6028626110647
706,06b6f310-e104-4866-8e3c-fe723c9a5099,452.9358004742896,453.3656921386719,79.89288259592367
707,63ad40ac-2f56-47c3-ad21-eeb122ed1778,462.8324796476147,486.92808532714844,132.57340813889542
708,c1a1ed80-59ac-483d-bb4a-2ab817b51c6b,354.4586171223567,348.4853973388672,78.51438684874958
709,404aa31c-8172-41f8-876e-1fe531dbe3e2,353.9475850986894,357.00799560546875,96.61204641347845
710,38323f65-9f66-4f8b-8d36-709a981c6f7b,360.7969752302888,356.53179931640625,95.68606702350121
711,a41ca9be-601c-468a-a389-30d1b6992d13,302.56423436623504,302.6300964355469,56.854291446059804
712,d6de641c-3aed-4afb-9654-9d88bf3eba0e,300.83790909453563,289.1282043457031,124.05024683877988
713,383bbfe7-7c6c-4c74-812b-e559950cde72,457.93795182615145,451.5889892578125,94.12573453208554
714,b873dda8-d89d-4a39-9f43-0669a32a4327,472.9142816066742,466.6931915283203,86.78754388726868
715,76bfb2e5-d25d-40c3-8a66-1ef23b81a4f2,358.6165109685554,353.5509033203125,80.06792008077039
716,50f16801-4246-471c-8007-4159db4d5532,498.15931963774324,506.41259765625,90.11660779564077
717,a61952c7-f527-4b44-bb77-36848857ff38,544.3195343784352,545.6231079101562,107.76161524578642
718,e3629504-b836-4bef-864e-4155be5d51df,523.5803969259414,535.0734252929688,89.50874214272605
719,c8865549-903d-4a25-af1a-8ed06fbe9c5f,395.3272894392041,397.3601989746094,96.22350290495967
720,925dba74-66bd-4f68-b0fa-a717de71eb10,422.7421396276453,424.597900390625,72.39921437066201
721,7122bcf9-5dcb-423b-a1c0-7725eab32ec1,391.7967898664803,395.31201171875,58.46845726861028
722,fc205d22-4112-412c-8da5-9e02a3e5ccc8,394.4976328681497,387.0012512207031,70.6810220215926
723,42f57b7c-e636-4828-aa74-1bf3c4d72c75,363.00317847365795,351.9851989746094,90.23846050781742
724,c6ab194e-33d4-4708-a818-2c8b96a8920c,423.5288349498402,415.59991455078125,104.46232076592607
725,dfbf36ff-7248-4e2d-a4a6-acb4f06e5e64,395.4458194280075,394.9475402832031,72.06920011528877
726,6dce49a8-d5df-4905-9922-69dd59d2f8b5,507.30072640544427,509.6874084472656,124.9128900814645
727,12f5c840-ed23-40e1-a024-a81ffa3ff1e4,296.02617317882937,281.60675048828125,95.08204935634693
728,45501e39-b6b9-4a9e-a639-8b322db81603,292.4241193135579,284.41380310058594,89.05739167475944
729,9bf027d9-4697-48e1-8d96-30266f94d349,376.03215067010177,364.9304504394531,77.37362854763144
730,c6481a95-5624-48f1-b3f9-88a4674ea8f3,376.5628076033159,365.6160583496094,88.20010593645097
731,093a1c62-1567-4f41-8293-de03dbe9a854,387.6730853467581,381.8623046875,91.80978289752836
732,d5c4e03c-4d3f-40bd-aebe-6b3540a1eaa1,290.5281264839727,284.3598937988281,75.37718628171655
733,e9154f23-6f90-4c28-ba13-4e9e2bcd1350,341.73925772192274,335.4576110839844,81.57862589571329
734,a42a981e-1473-45f2-a24a-27956c0a00b6,400.78025386079827,402.7879943847656,78.95462334937932
735,170490bf-f06c-4f21-a68f-d7e0dfa53b0c,453.8715572208993,448.7770080566406,90.4309755194137
736,c217598a-3922-46d5-a825-5bf8c3e4cf98,485.48375701904297,483.3231964111328,65.80764662210203
737,fb855aa0-8de1-4bfa-8795-ebe5014bbe11,434.92350857074445,435.15525817871094,102.52084214998621
738,421edab6-0182-42f2-8843-9f845f6e93a4,459.1595577601284,464.1896057128906,84.7952154349848
739,55a989c1-c33d-44d0-84bc-747b25ae7f04,389.0479157014142,388.9955139160156,71.03007897655613
740,f0153711-fc90-4fa5-834b-450347b43767,302.35573994723234,305.2725524902344,59.082875116903374
741,2cd90032-89ad-4786-90f2-093983de1ff4,368.04892680109765,363.5365447998047,73.61673450734342
742,5b867da6-db03-4e07-be8c-6594704e7c9b,380.89220854803585,382.57440185546875,78.67294298873132
743,3f8f1972-52d4-4263-8435-4a1d6db2813d,362.3427424366118,351.7668914794922,93.9256253274683
744,4580cbd7-d113-4dce-b10c-4e6223e01cc5,324.86088417280655,325.64369201660156,49.08722161413393
745,deda957c-0c6f-4626-9ce7-f60bc6c15d08,340.54544886713444,343.1268005371094,73.07879221808864
746,4b374e09-e535-40c3-9dfc-f5ffebf762c1,305.79660241580706,293.0189514160156,70.69045339429766
747,28dbfcbc-1002-47c9-b188-49dad629b868,296.61138658399705,293.3086853027344,60.027231899657046
748,79071580-797b-4e88-9fa4-0b7a61ca305f,332.34786646916314,323.9621887207031,76.20181916564253
749,3bed4d59-4691-4ed5-90f2-9941ac61ebc3,256.31775459575977,251.23899841308594,46.775978620097966
750,6b95f72a-01fa-4f00-84c9-fbf1c70ad043,254.25398500086897,277.8398132324219,150.77906238588022
751,a7d3c488-8824-4f41-87d1-4993e4a56b18,333.7358272040068,333.6468505859375,37.4558153558471
